leather,					Кожа (PW)
IronCast,				Литое железо
IronDuctile,				Пластичное железо
IronMalleableCast, 			Железо ковкое литое
LeadPure,				Свинец
Molybdenum,				Молибден
AlloyMagnesium,				Легированный магний
AlloyMonel400,				Монель 400
NickelBrushed,				Матовый никель
NickelPolished,				Никель
PlasticAcrylic,				Пластик акрилик
PlasticDimpled,				Пластик с ямочками 
PlasticMT11010,				Пластик MT11010
PlasticMT11020,				Пластик MT11020
PlasticMT11030,				Пластик MT11030
PlasticMT11040,				Пластик MT11040
PlasticMT11050,				Пластик MT11050
PlasticMT11060,				Пластик MT11060
PlasticMT11070,				Пластик MT11070
PlasticMT11080,				Пластик MT11080
PlasticMT11090,				Пластик MT11090
PlasticMT11100,				Пластик MT11100
PlasticMT11110,				Пластик MT11110
PlasticMT11120,				Пластик MT11120
PlasticMT11130,				Пластик MT11130
PlasticMT11140,				Пластик MT11140
PlasticMT11150,				Пластик MT11150
PlasticMT11155,				Пластик MT11155
PlasticMT11200,				Пластик MT11200
PlasticMT11205,				Пластик MT11205
PlasticMT11215,				Пластик MT11215
PlasticMT11230,				Пластик MT11230
PlasticMT11235,				Пластик MT11235
PlasticMT11240,				Пластик MT11240
PlasticMT11245,				Пластик MT11245
PlasticMT11250,				Пластик MT11250
PlasticNylon,				Пластик нейлон
PlasticShiny,				Блестящий пластик
PlasticPerspex,				Пластик Perspex
PlasticPTFE,				Пластик PTFE
PlasticPolycarbonate,			Пластик поликарбонатный
PlasticPolypropylene,			Пластик полипропилен 
PlasticPolystyrene,			Пластик полистирол
PlasticPVC,				Пластик PVC
RubberSoft,				Мягкая резина
Silicon,				Силикон
SiliconDioxide,				Силикон двуокись
silverpure,				Серебро
StainlessSteel,				Нержавеющая сталь
SteelAISI304,				Сталь AISI 304
SteelAISI1020,				Сталь AISI 1020
SteelCastCarbon,			Литая углеродистая сталь
SteelCastStainless,			Литая нержавеющая сталь
SteelGalvanised,			Оцинкованная сталь
SteelPlainCarbon,			Простая углеродистая сталь
SteelSatin,				Матовая сталь
SteelWroughtStainless,			Кованная нержавеющая сталь
Titanium,				Платина
Tungsten,				Вольфрам
Vanadium,				Ванадий
water,					Вода
WoodBeech,				Бук
WoodMahogany,				Красное дерево
WoodMaple,				Клен
WoodOak,				Дуб
WoodPine,				Сосна
WoodRedCedar,				Кедр
WoodTeak,				Тик
Zirconium,				Цирконий
